阶段,品类,目标纳入年,2024出口额(USD bn),2025出口额(USD bn),2024计费单元(百万),2025计费单元(百万),平均计费单元价值(USD),2025目标企业数,"一码价格(坏/中/好,RMB)",2026后年增长假设,2024来源说明,2025来源说明,备注
当前已明确覆盖,电池,2027,24.25,30.41,220.5,276.5,110.0,4500,2.50/4.00/6.00,10.0%,按 2025 年欧盟自中国进口 electric accumulators 30.41B 美元，结合 2025 年中国对欧盟储能电池/充电桩出口同比 +25.4% 回推。,Trading Economics/UN Comtrade：EU imports from China - electric accumulators = 30.41B USD (2025)。,采用“DPP 合规单元”口径，按电池包/模组/可独立追溯电池计费，不按电芯逐颗计费。
当前已明确覆盖,消费电子/电子电器,2026,145.0,155.9,805.6,866.1,180.0,12000,0.12/0.25/0.45,6.0%,按 2025 年电气电子口径剔除电池后回推，参考 2025 年中国高技术产品对欧出口同比约 +7.5%。,Trading Economics/UN Comtrade：EU imports from China - electrical/electronic equipment 186.31B USD；减去 electric accumulators 30.41B USD。,覆盖手机、电脑、家电 PCB、服务器等；以整机/板卡/可独立流通部件作为一物一码单元。
当前已明确覆盖,纺织服装,2027,31.1,35.57,3887.5,4446.2,8.0,45000,0.02/0.04/0.06,5.0%,针织服装 13.49B + 非针织服装 12.54B + 其他纺织成品按 5.07B 估算。,Trading Economics/UN Comtrade：针织服装 15.83B、非针织服装 14.21B、其他纺织成品 5.53B USD。,与原模型一致，按件估算；鞋类单独列示，不并入本行避免重复计算。
近期即将纳入,轮胎/橡胶制品,2027,6.16,6.96,123.2,139.2,50.0,1500,0.15/0.30/0.50,4.0%,Trading Economics/UN Comtrade：EU imports from China - rubbers = 6.16B USD (2024)。,Trading Economics/UN Comtrade：EU imports from China - rubbers = 6.96B USD (2025)。,按轮胎/高值橡胶件计费，不按橡胶原料公斤计费。
近期即将纳入,钢铁及钢制品,2026,18.8,20.49,156.7,170.8,120.0,5000,0.12/0.25/0.40,3.0%,按 iron and steel + articles of iron or steel 口径估算 18.80B USD。,Trading Economics/UN Comtrade：iron and steel 15.75B + articles of iron or steel 4.74B USD。,一物一码单元按卷、板、束、托盘或独立零部件折算。
近期即将纳入,铝制品,2027,4.18,4.51,69.7,75.2,60.0,1500,0.12/0.25/0.40,3.0%,Trading Economics/UN Comtrade：EU imports from China - aluminum = 4.18B USD (2024)。,Trading Economics/UN Comtrade：EU imports from China - aluminum = 4.51B USD (2025)。,按托盘、型材包、板卷或深加工部件折算。
近期即将纳入,家具,2028,22.17,24.1,316.7,344.3,70.0,10000,0.10/0.20/0.35,4.0%,"Trading Economics/UN Comtrade：EU imports from China - furniture, lighting signs, prefabricated buildings = 22.17B USD (2024)。","Trading Economics/UN Comtrade：EU imports from China - furniture, lighting signs, prefabricated buildings = 24.10B USD (2025)。",床垫单列，家具本行不重复包含床垫。
近期即将纳入,床垫/寝具,2029,1.48,1.62,32.9,36.0,45.0,2500,0.08/0.18/0.30,4.0%,Trading Economics/UN Comtrade：EU imports from China - mattresses = 1.48B USD (2024)。,按家具大类同比增速 +8.7% 外推 1.62B USD。,按张/件计费，适合在 2029 年后作为家具大类补充细分。
近期即将纳入,塑料/包装,2028,16.95,17.76,1994.1,2089.4,8.5,6000,0.02/0.04/0.07,3.0%,按 2025 年 plastics 口径倒推，假设同比 +4.8%。,Trading Economics/UN Comtrade：EU imports from China - plastics = 17.76B USD (2025)。,按包装单元、周转箱、瓶罐或零售最小销售单元折算。
近期即将纳入,涂料/洗涤剂,2029,4.45,4.8,684.6,738.5,6.5,2500,0.04/0.07/0.12,3.0%,按 organic chemicals 与日化出口趋势估算 4.45B USD。,按 organic chemicals 38.54B USD 中约 12.5% 的 DPP 相关涂料/洗涤剂子类折算。,该行是子类估算口径，避免与“化工/个人护理”整类重复时，五年预测按去重系数处理。
